Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,2,30,0.2235939637838381,0.875,29.93348623853211,7.124432905485592,0.01337120518015874,0.0016886215212952701,0.1175480388255216,0.06441602196860084,nan,nan,nan,nan,nan,nan,15.154307277129371,
distributed,0,2,50,0.22373848262261378,0.8709,49.52284803400638,10.78644983300808,0.013534725050518753,0.00297575302376601,0.1452282148446148,0.06285368012189813,nan,nan,nan,nan,nan,nan,15.040640314060548,
distributed,0,2,70,0.22321474904581334,0.8728,68.83283582089553,19.44613955904873,0.014160764009910154,0.004758392288864842,0.13186240124390952,0.052755564597162845,nan,nan,nan,nan,nan,nan,15.118566645397394,
distributed,0,2,100,0.22294240187702755,0.874,99.80239520958084,36.89512162874653,0.011332013022287679,0.004658330441817922,0.13044516823872304,0.054091493349433625,nan,nan,nan,nan,nan,nan,14.969596633076941,
distributed,0,3,-1,0.23682058269075046,0.8561,4.213414634146342,1.1697454843981645,0.013172594687040613,0.0035183079692352607,0.12859571374525505,0.04720313369993434,25.45297981288915,3.0642845010096655,2.7090081549437977,0.40782730507845927,1.7148410545100208,0.3873390075533851,15.258898949089414,
distributed,0,3,1,0.2457294255228418,0.8458,1.0,0.0,0.011698185265745203,0.006662403742923906,0.1305949653113686,0.05661419014076044,nan,nan,nan,nan,nan,nan,15.083073961174055,
distributed,0,3,2,0.2374939249977348,0.8538,1.9891304347826086,0.14506169422830154,0.013937848864920825,0.005191256133697296,0.13717285106787425,0.05171865040055054,nan,nan,nan,nan,nan,nan,15.328343388793764,
distributed,0,3,3,0.23561962073199755,0.8544,2.9847908745247147,0.296424852994897,0.01259174010580313,0.004333552740997321,0.13180526011446153,0.05006549571688463,nan,nan,nan,nan,nan,nan,15.002670621454369,
distributed,0,3,5,0.236662877093321,0.8542,4.974937343358396,0.49135182079339257,0.013081437552690143,0.0030249645307109025,0.11986826032340452,0.05774624142927056,nan,nan,nan,nan,nan,nan,14.946544598297892,
distributed,0,3,7,0.24117123337742896,0.8503,6.960176991150442,0.8745981630098068,0.012835854526195373,0.0029125468908736754,0.1373272849278853,0.047654048579725904,nan,nan,nan,nan,nan,nan,14.89454422892364,
distributed,0,3,10,0.24704716130641596,0.8447,9.968531468531468,1.6287068520047763,0.013046415167255956,0.002182838193314591,0.12702662555653504,0.06078458624851967,nan,nan,nan,nan,nan,nan,14.954930383832048,
distributed,0,3,20,0.26553755309263144,0.8247,19.948787061994608,4.190876412148972,0.012844353082631982,0.0021539274570623874,0.137992826976724,0.06327911056354626,nan,nan,nan,nan,nan,nan,14.996600240217301,
distributed,0,3,30,0.27414649546695535,0.8175,29.795749704840613,6.641703262132555,0.012925813630202149,0.0013817556484151574,0.1331711612015566,0.054510567322538186,nan,nan,nan,nan,nan,nan,14.95614106560312,
distributed,0,3,50,0.28856564362663517,0.8045,49.39562841530055,12.914623494318368,0.01303638461547145,0.0015497880243564674,0.13298298351977492,0.050819623317941834,nan,nan,nan,nan,nan,nan,14.898304906336291,
distributed,0,3,70,0.2973660991430806,0.7959,68.8131212723658,19.322509541982377,0.013108014792382106,0.0006162137433880194,0.11232534862091802,0.05018096962725434,nan,nan,nan,nan,nan,nan,14.990516323692685,
distributed,0,3,100,0.3041034204621548,0.7896,99.0910891089109,35.442049727532535,0.01367394799040242,0.0022868713808040543,0.1317145625923454,0.04344253906943127,nan,nan,nan,nan,nan,nan,15.019120400189829,
distributed,1,0,-1,0.22327978874391724,0.8729,29.17794486215539,12.05890305364227,0.01364956035535156,0.0025642068382993005,0.1264678906805296,0.05070213072433292,7.283403133414745,2.731925590295507,0.5375210239447398,0.09524805819789357,0.18837757535255972,0.14664143176046268,14.977968829733838,
distributed,1,0,1,0.24547422119948206,0.8431,1.0,0.0,0.011716265573880544,0.007256935286087968,0.12845887126869926,0.0536637080501109,nan,nan,nan,nan,nan,nan,15.138914778998618,
distributed,1,0,2,0.23372258118321346,0.8569,1.989795918367347,0.14069079067862747,0.011942513973453195,0.004497340578623053,0.12919956866509166,0.05996375533318023,nan,nan,nan,nan,nan,nan,15.139213534401712,
distributed,1,0,3,0.2304029536338419,0.8613,2.9840637450199203,0.30315526415823824,0.012911642605638807,0.004030337445466223,0.1408973538266889,0.05526476852131359,nan,nan,nan,nan,nan,nan,15.19529617686095,
