case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,14.12135271664756,inf,0.0003,nan,nan,nan,1,0.012934653648090669,0.13652042544056725
0,14.299121298623742,inf,0.0003,nan,nan,nan,1,0.01391441002843529,0.16385417194774643
0,14.482917554859403,inf,0.0003,nan,nan,nan,1,0.015611201064559111,0.16818505517110133
0,14.708419624684987,inf,0.0003,nan,nan,nan,1,0.019263408333975947,0.20623866149160858
0,14.794311899376721,inf,0.0003,nan,nan,nan,1,0.016359869268665207,0.0695324054230691
0,14.932530681786364,inf,0.0003,nan,nan,nan,1,0.013582903925749564,0.12463587848389392
0,15.03305554604881,inf,0.0003,nan,nan,nan,1,0.020536542011441113,0.07998832225100613
0,15.21702811592432,inf,0.0003,nan,nan,nan,1,0.018643446894050904,0.16532912298145902
0,15.352851613982953,inf,0.0003,nan,nan,nan,1,0.005364810816877032,0.13045868724175533
0,15.502295906182841,inf,0.0003,nan,nan,nan,1,0.007135415507893398,0.14230887669199535
0,15.6820305556785,inf,0.0003,nan,nan,nan,1,0.0086339869505569,0.1711006625451013
0,15.877125408439701,inf,0.0003,nan,nan,nan,1,0.015596685431012352,0.17949816733018933
0,16.002238690643214,inf,0.0003,nan,nan,nan,1,0.020481055516948447,0.10463222668656377
0,16.13287353766614,inf,0.0003,nan,nan,nan,1,0.008027273288921805,0.12260757373400233
0,16.261606063099098,inf,0.0003,nan,nan,nan,1,0.0077705156675767165,0.12096200976538034
0,16.397195001824965,inf,0.0003,nan,nan,nan,1,0.007540676910450264,0.12804826181541842
0,16.48754669317349,inf,0.0003,nan,nan,nan,1,0.01518410000479558,0.07516759134372705
0,16.617659806743333,inf,0.0003,nan,nan,nan,1,1e-08,0.1301131035698463
0,16.77398997947022,inf,0.0003,nan,nan,nan,1,0.015735528837963832,0.140594643888923
0,16.83802845072303,inf,0.0003,nan,nan,nan,1,0.012017742013881673,0.05202072923892814
0,17.01194968971363,inf,0.0003,nan,nan,nan,1,0.02037421597101619,0.15354702301958528
0,17.193377744426865,inf,0.0003,nan,nan,nan,1,0.024938220442109214,0.1564898342711235
0,17.344286181284605,inf,0.0003,nan,nan,nan,1,0.026490941571085475,0.12441749528665483
0,17.515547249493142,inf,0.0003,nan,nan,nan,1,0.007564394017978235,0.163696674190559
0,17.6559202064245,inf,0.0003,nan,nan,nan,1,0.008540683638146853,0.1318322732932128
0,17.777871104485083,inf,0.0003,nan,nan,nan,1,0.010220978907313005,0.11172991915326973
0,17.9413091867346,inf,0.0003,nan,nan,nan,1,0.013516301437686588,0.14992178081182933
0,18.01599037107264,inf,0.0003,nan,nan,nan,1,0.01582585289538507,0.05885533144265652
0,18.135798778913806,inf,0.0003,nan,nan,nan,1,0.01732418747428862,0.10248422036687685
0,18.173547668440655,inf,0.0003,nan,nan,nan,1,0.014630638378482667,0.023118251148364924
0,18.30154725713513,inf,0.0003,nan,nan,nan,1,0.011858542229739416,0.11614104646473478
0,18.42070365551663,inf,0.0003,nan,nan,nan,1,0.012695896375115229,0.10646050200638245
0,18.57505191687437,inf,0.0003,nan,nan,nan,1,0.007217888047069125,0.14713037331067047
0,18.777989298077415,inf,0.0003,nan,nan,nan,1,0.006873351541216251,0.1960640296618294
0,18.93741866643925,inf,0.0003,nan,nan,nan,1,0.024674750863219623,0.13475461749861556
0,19.04157334991789,inf,0.0003,nan,nan,nan,1,0.0011073152022554704,0.10304736827638529
0,19.19802769996416,inf,0.0003,nan,nan,nan,1,0.029599221485951566,0.1268551285603213
0,19.367912242265604,inf,0.0003,nan,nan,nan,1,0.014820560115265181,0.15506398218617914
0,19.50321510405877,inf,0.0003,nan,nan,nan,1,1e-08,0.13530285179316673
0,19.55467011439051,inf,0.0003,nan,nan,nan,1,0.014389567366984934,0.03706544296475528
0,19.681211297200097,inf,0.0003,nan,nan,nan,1,0.015142631504975955,0.11139855130461052
0,19.808556522483112,inf,0.0003,nan,nan,nan,1,0.009875046421953615,0.11747017886106016
0,19.990411275531898,inf,0.0003,nan,nan,nan,1,0.009527626041491707,0.17232712700729258
0,20.197057539099923,inf,0.0003,nan,nan,nan,1,0.016948386718224726,0.18969787684980127
