Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,3,5,0.23479387050666534,0.8576,4.991507430997877,0.4082256722034803,0.01354808127251801,0.0033500839695820815,0.14370125551887744,0.04712129667129253,nan,nan,nan,nan,nan,nan,20.02937486484507,
distributed,0,3,7,0.23797546621640156,0.854,6.990595611285267,0.6221342617936603,0.012842015016597763,0.0026735003028215162,0.13049066254983735,0.05501903268639436,nan,nan,nan,nan,nan,nan,20.146299791516903,
distributed,0,3,10,0.2443083022693904,0.8471,9.988326848249027,1.0124958908529371,0.012875117375682163,0.002786325129694614,0.12971569516197404,0.05596492608548987,nan,nan,nan,nan,nan,nan,20.160415685666052,
distributed,0,3,20,0.26172890631196355,0.8285,19.918762088974855,0.824010972524175,0.013069709988440805,0.001414090963146427,0.12389202163201732,0.05171944329938055,nan,nan,nan,nan,nan,nan,19.945529417596482,
distributed,0,3,30,0.271701759618931,0.8209,29.8125,2.845114155216451,0.012843882811929018,0.0012611216731799597,0.1298625730671778,0.04220063820388923,nan,nan,nan,nan,nan,nan,19.889083499382068,
distributed,0,3,50,0.2916791522272244,0.8012,49.962336664104534,9.253776154298016,0.012922439629154178,0.001456432483417639,0.10627616387736631,0.04266422943688498,nan,nan,nan,nan,nan,nan,19.975299443015228,
distributed,0,3,70,0.2949062350569228,0.799,69.48137108792847,12.640806936267953,0.013088453284786689,0.0008424987076512314,0.1325772533433539,0.0462026954158029,nan,nan,nan,nan,nan,nan,20.127841416053258,
distributed,0,3,100,0.3123253305526846,0.7817,98.75471698113208,5.66586629001484,0.013370633428505559,0.0008518501074823605,0.11645453268072338,0.05939440502083645,nan,nan,nan,nan,nan,nan,20.07611451214871,
distributed,1,0,-1,0.22235691697421794,0.8747,94.52337164750958,36.92206324577839,0.013594141972939427,0.0014359914005303961,0.15043190399360967,0.05721239275240239,5.465666757768178,4.479515652347709,0.5752703731053155,0.10551962830749831,0.17913289541380312,0.19489306564679582,19.993984820437092,
distributed,1,0,1,0.24015117178172563,0.8505,1.0,0.0,0.012885634779223278,0.006490778589087544,0.13601138228351778,0.05368995460613077,nan,nan,nan,nan,nan,nan,19.95220028640731,
distributed,1,0,2,0.22970917962511417,0.861,1.9962264150943396,0.08638440069981998,0.013110116316178191,0.00485679436691587,0.12534065642079448,0.05277318103210616,nan,nan,nan,nan,nan,nan,20.14837402083132,
distributed,1,0,3,0.22674124459896622,0.8671,2.9945054945054945,0.18032786885245902,0.012865766956614476,0.004446836381440326,0.12512591721154945,0.05444407254736173,nan,nan,nan,nan,nan,nan,19.963071408580625,
